Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,72481076026,70796494470,75695088355,78210930485,83174634965
Albania,ALB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,33983907351,35304171240,36786422672,38643668534,39434065969
Australia,AUS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1.08E+12,1.12E+12,1.16E+12,1.21E+12,1.27E+12
Austria,AUT,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,4.27E+11,4.60E+11,4.72E+11,4.99E+11,5.14E+11
Afghanistan,AFG,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,..,..,..,..,..
Albania,ALB,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,3.179020063,0.3087266,4.373785744,0.600137396,1.77731227
Australia,AUS,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,..,..,..,..,..
Austria,AUT,Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,3.241584004,4.466445651,4.476895444,6.086809729,-0.174975915
Afghanistan,AFG,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,..,..,..,..,..
Albania,ALB,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-2.875206445,6.920121455,8.355809406,2.396964121,2.289645471
Australia,AUS,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,1.518684461,-0.325584798,5.247607812,6.95673617,0.201911522
Austria,AUT,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,3.630202134,3.725740615,5.289217846,5.340687654,1.978989801
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,8.26,11,13.5,16.8,17.6
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,56.9,59.6,62.4,65.4,68.55039112
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.56051491,86.54,86.54504885,87.6,88.6
Austria,AUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,83.94014193,84.32374257,87.93558659,87.47913723,87.75220479
Afghanistan,AFG,"Industry (including construction), value added per worker (constant 2015 US$)",NV.IND.EMPL.KD,3154.914423,2974.040142,2996.397939,3129.497908,3145.513386
Albania,ALB,"Industry (including construction), value added per worker (constant 2015 US$)",NV.IND.EMPL.KD,12302.84353,11591.70916,11416.42638,11651.06659,11251.66103
Australia,AUS,"Industry (including construction), value added per worker (constant 2015 US$)",NV.IND.EMPL.KD,139394.4796,..,..,..,..
Austria,AUT,"Industry (including construction), value added per worker (constant 2015 US$)",NV.IND.EMPL.KD,88727.83224,90862.27482,95624.17717,96234.5754,97043.70804
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.661709165,4.383891955,4.975951506,0.626149149,2.302372515
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.501208355,-0.36731721,2.060598459,2.028059631,1.41109079
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.508366722,1.276990945,1.948647409,1.911400944,1.610767873
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.896563335,0.891591753,2.081269114,1.998379814,1.530895642
Afghanistan,AFG,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,..,..,19000000,..,190490000
Albania,ALB,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,..,..,..,..,..
